price per room,avg_rating,#cafes,#pubs
100,4.075,4,1
186,4,4,0
406,4.1,6,0
528,4.05,1,0
589,3.95,3,3
611,4.125,1,2
611,4.125,1,2
646,4.05,0,0
665,3.975,0,0
670,4,4,0
675,4.1,0,2
675,3.95,3,3
688,4,2,2
700,4,5,0
700,4.025,3,0
715,4,2,2
740,4.025,5,0
743,4.05,3,0
744,3.975,3,3
748,4.1,1,2
750,3.925,4,1
750,3.975,5,0
787,4,4,0
800,3.975,4,0
800,4.1,4,0
816,4.1,6,1
825,4,0,1
827,3.95,0,0
831,4.125,0,0
831,4.075,1,2
837,4.05,2,0
850,4.025,0,0
850,4.025,2,2
850,4.1,1,2
860,4,4,0
863,4,3,0
863,3.975,3,0
863,3.925,1,0
863,4.025,1,0
869,4.075,0,0
870,3.925,1,0
875,4.05,7,1
875,4.125,6,1
878,4.1,1,2
888,4.075,4,1
888,4.075,1,2
893,4.125,1,2
893,4.05,4,2
894,4.075,3,0
897,3.95,1,0
900,4,2,1
900,3.975,4,1
900,4.1,7,1
900,4.05,2,1
903,4,3,1
914,4.1,6,1
914,4.075,3,0
930,4.125,1,2
933,4.125,0,0
939,4.025,2,2
941,4.05,0,0
944,4.025,3,0
950,4.05,4,0
950,3.925,1,0
950,4.025,3,0
950,4.025,3,0
950,4.025,3,0
950,4.075,7,1
950,4.125,1,2
950,4.125,6,1
950,4.075,2,1
954,4,5,0
964,4.025,3,0
965,4,2,2
966,4.1,4,0
967,4,3,1
971,4.025,0,0
975,4.025,3,1
975,4,3,1
975,4.025,1,0
975,4.05,3,2
980,4,3,0
987,4.175,3,0
990,4.1,1,2
995,4.05,3,0
995,3.975,1,0
998,4.175,1,1
998,3.95,3,3
1000,4,5,1
1000,3.975,1,1
1000,4.025,1,1
1000,4.025,1,1
1000,3.975,0,0
1000,4.05,2,2
1000,4.025,5,1
1000,4,4,1
1000,4.125,2,1
1005,3.975,4,0
1008,4.075,1,2
1010,3.975,2,0
1012,4,5,0
1013,4.025,4,1
1015,3.9,2,1
1015,4.025,3,0
1015,4.125,5,0
1015,4.05,5,0
1015,4.025,3,0
1016,3.9,1,1
1023,3.925,3,1
1025,3.95,5,2
1030,4.025,2,0
1031,4,3,1
1040,3.975,6,0
1040,4,3,1
1045,4.125,1,2
1047,4.125,6,1
1050,3.95,3,0
1050,3.975,1,2
1050,4.075,3,1
1050,4.05,5,0
1050,3.975,2,2
1050,4.075,1,1
1050,4.175,6,1
1065,4,3,0
1066,4.075,5,2
1080,3.95,5,1
1081,4.125,6,1
1083,3.95,1,1
1093,3.95,4,2
1094,4.175,0,2
1095,3.975,3,0
1097,4,6,1
1098,4.1,1,2
1100,4.05,3,0
1100,3.975,4,0
1100,4,4,0
1100,4,3,1
1100,4.025,1,0
1100,4,1,0
1100,4.125,6,1
1100,3.9,4,1
1100,4.075,0,0
1105,3.975,3,2
1107,4.05,1,1
1107,4.05,1,1
1115,3.975,1,2
1117,4.025,4,0
1117,4.05,2,0
1117,4.025,3,0
1117,4.025,3,0
1117,4.075,5,2
1118,4.05,0,0
1118,4.05,0,0
1120,4,3,0
1125,4,6,1
1125,4.025,5,1
1125,4.05,1,0
1125,4,3,1
1126,3.95,4,2
1137,4.05,6,1
1138,4,0,0
1139,4.2,6,0
1147,4.1,4,1
1150,4.1,6,1
1150,4.05,5,0
1150,4.175,0,1
1150,4,5,0
1150,4.1,3,2
1150,3.95,4,1
1150,4,2,0
1150,4.025,3,0
1150,4.1,1,2
1150,4.025,5,1
1150,4,4,1
1150,4.075,3,1
1150,4.1,1,1
1153,4.1,1,2
1165,4.175,1,0
1165,4.15,6,0
1165,4.1,1,2
1165,3.95,0,0
1166,4.025,5,0
1167,3.95,3,0
1167,4.05,0,0
1169,4.05,1,2
1172,4.125,3,1
1175,4.05,3,2
1175,4.05,1,0
1175,4,3,0
1175,4,3,0
1187,3.975,1,2
1187,3.925,1,0
1187,4.025,3,0
1189,4,3,1
1189,4,4,0
1193,4.175,6,0
1193,4.075,5,0
1194,4.15,6,0
1197,4.025,3,0
1197,4.025,4,0
1197,4,4,0
1197,3.975,3,0
1198,3.95,4,1
1198,4.15,6,0
1198,4.05,4,0
1198,4.025,2,0
1199,4.025,5,1
1199,3.925,4,1
1199,3.95,5,2
1200,4.075,4,1
1200,4.15,2,1
1200,4.125,3,2
1200,3.875,3,1
1200,4.025,3,0
1200,4.025,2,2
1200,3.925,4,2
1200,4.025,3,0
1200,4.05,5,2
1200,4.025,5,2
1200,4,3,1
1200,4.025,3,2
1200,4.075,5,2
1200,4,1,0
1200,4.025,3,0
1200,4.025,3,0
1200,4.15,3,0
1200,4.025,2,0
1200,4.05,4,0
1200,4.2,1,0
1200,4.025,3,0
1205,4.1,1,2
1208,3.975,0,0
1208,4.075,3,1
1210,4.05,1,0
1213,4.125,3,1
1213,4.125,1,2
1218,4.1,2,1
1218,4.125,6,1
1218,4.075,3,1
1218,4,4,0
1218,4.1,3,2
1218,4.1,3,1
1218,3.925,1,2
1218,3.925,3,0
1218,4.175,5,1
1218,4.05,6,1
1225,4.225,6,1
1225,4,3,0
1225,4.075,3,0
1225,4.15,6,0
1229,3.95,5,2
1230,3.95,1,0
1231,4.1,1,0
1232,3.975,3,0
1233,3.975,4,0
1233,3.675,2,0
1233,4.025,3,0
1233,4.025,3,0
1237,4.1,6,0
1237,4.025,1,1
1237,4.125,0,2
1239,3.975,3,0
1240,4.2,6,1
1243,4.1,6,1
1243,4.15,2,3
1243,3.975,1,2
1243,4.175,5,0
1247,4.05,3,0
1247,4.075,1,2
1247,3.975,1,2
1247,3.975,1,2
1247,4.075,4,0
1248,4.05,0,0
1249,3.95,3,2
1249,4,4,1
1249,4.125,1,2
1249,3.925,1,0
1250,4.1,6,0
1250,4.075,4,0
1250,4.05,4,0
1250,4.05,3,1
1250,3.975,3,1
1250,3.95,3,1
1250,4,3,0
1250,3.9,5,1
1250,3.95,4,1
1250,4.15,6,0
1254,4.025,3,0
1256,4.125,1,2
1257,4.05,4,1
1259,3.925,1,0
1262,4.05,2,0
1262,4.05,2,0
1265,4.025,5,0
1266,4.05,4,0
1269,4,4,0
1269,4.05,4,0
1269,4.025,3,1
1269,4.025,5,0
1269,4.025,0,0
1270,3.925,1,0
1271,4,3,1
1275,4.05,3,0
1275,3.825,2,0
1282,3.95,4,1
1287,4.05,0,0
1289,3.95,4,2
1292,4.175,0,0
1292,4,5,0
1292,4,5,0
1294,4.1,6,0
1294,4.025,2,2
1295,3.925,4,3
1295,4,3,1
1295,4.05,3,0
1295,3.95,0,0
1295,4.025,2,0
1297,4.125,1,2
1297,4.025,3,0
1297,4.125,1,2
1297,4,4,1
1298,4,2,0
1300,4.025,5,0
1300,4.05,4,1
1300,4.1,4,1
1300,4,4,0
1300,4,4,0
1300,4,4,0
1300,4,4,0
1300,4,4,0
1300,4.075,0,0
1300,4.025,1,1
1300,4,3,1
1300,4.025,3,0
1300,3.95,2,2
1300,3.875,4,0
1300,3.95,5,1
1300,3.95,5,1
1300,4.075,1,2
1300,3.925,2,0
1300,4.125,1,2
1300,4,5,0
1305,3.975,3,2
1305,3.9,1,1
1305,3.975,3,2
1306,3.975,0,0
1309,3.95,1,0
1312,3.975,1,2
1312,4.05,5,1
1314,4.1,6,1
1314,4.125,3,1
1314,3.975,4,0
1314,3.975,3,1
1318,3.95,4,2
1320,4.125,6,1
1320,4.075,0,0
1320,4.175,4,1
1320,4.05,3,2
1320,4,4,0
1320,3.95,3,1
1320,4.075,6,0
1320,4.025,2,2
1320,4.05,0,0
1320,3.975,2,0
1325,4.2,1,0
1325,4,3,1
1331,3.95,1,0
1332,4,2,0
1332,4.1,1,2
1332,4.125,1,2
1336,4.125,1,2
1336,4.125,1,2
1342,4.075,5,1
1343,3.9,3,2
1343,3.95,0,0
1345,3.975,3,0
1345,3.925,1,1
1345,3.975,4,2
1345,4.025,3,1
1347,4.05,4,0
1347,4.075,5,2
1350,3.95,5,2
1350,4.2,6,1
1350,4.15,5,0
1350,4.05,3,1
1350,4,3,1
1350,3.925,4,2
1350,4.05,0,0
1350,3.95,1,0
1350,4.1,5,1
1350,4,3,0
1350,4.05,0,0
1350,3.95,2,2
1350,3.95,0,0
1350,4,2,2
1350,3.95,5,2
1350,3.925,1,0
1350,4,2,1
1354,3.975,3,0
1355,4.025,4,0
1356,3.95,0,0
1356,4.125,5,1
1359,4.1,0,0
1359,4,4,0
1360,3.925,4,2
1361,3.975,6,0
1361,3.975,6,0
1361,3.975,6,0
1361,3.975,6,0
1361,4,6,0
1363,3.95,5,2
1364,4.125,4,0
1365,4.125,4,1
1365,3.9,1,1
1369,4.025,2,0
1370,4.025,4,0
1370,4,4,0
1370,3.95,0,0
1370,4.075,1,2
1370,4.025,1,1
1370,3.975,4,2
1370,4.05,6,1
1370,4.025,1,0
1370,3.975,2,0
1373,3.9,1,1
1375,3.95,3,0
1375,4.15,6,0
1375,4.125,4,1
1375,3.95,2,0
1375,4.075,6,0
1375,4,2,0
1376,3.95,5,2
1380,4,3,0
1381,4.05,1,1
1384,4.15,7,0
1387,3.975,0,0
1393,4.075,5,0
1393,4.1,7,1
1393,4.05,1,0
1394,3.95,4,1
1394,4,3,1
1395,3.975,1,2
1395,4.05,1,0
1397,4,2,0
1397,4.05,2,0
1397,3.975,2,0
1397,4.075,1,0
1398,4.05,0,0
1398,3.975,3,2
1399,4.05,1,0
1400,4.025,2,2
1400,4,5,1
1400,4.05,7,1
1400,4.1,3,1
1400,3.95,0,0
1400,4.025,3,0
1400,4.025,3,0
1400,4.075,1,2
1400,3.975,1,2
1400,3.95,5,2
1400,4.025,1,1
1400,3.95,4,1
1400,4.125,1,2
1400,4.075,5,2
1400,4.125,1,2
1400,4.075,3,0
1400,4.1,6,1
1400,4.075,0,0
1400,4.05,4,0
1400,4,4,0
1400,4.15,5,0
1400,4,3,0
1400,3.975,2,0
1400,4.05,0,0
1400,4.05,4,0
1400,3.95,4,1
1408,4,3,2
1410,4.125,7,1
1410,4.05,3,0
1411,4.15,6,0
1411,4.05,3,2
1411,4.075,0,0
1414,4.05,0,0
1416,4.05,3,1
1416,4.075,5,2
1417,4.075,1,2
1420,3.775,1,0
1420,4.05,1,1
1421,4.025,3,0
1421,3.925,3,1
1421,4,5,0
1421,4.05,4,0
1421,4.05,4,0
1421,3.925,4,2
1421,4.025,3,0
1421,4.025,3,1
1421,4.025,2,2
1421,3.95,1,0
1421,3.95,1,0
1421,4.025,3,0
1422,4.175,1,0
1423,3.95,5,2
1423,4.125,1,2
1423,3.975,0,0
1425,4.025,2,0
1425,3.975,2,2
1425,4.075,2,1
1425,3.95,3,1
1430,3.875,2,1
1433,4.1,1,2
1434,3.95,5,2
1434,3.95,5,2
1434,4.125,6,1
1437,4.05,3,0
1443,4.05,3,1
1446,4.125,1,2
1447,3.975,3,0
1447,4,4,1
1447,4,3,0
1448,4.05,2,0
1450,4.15,5,1
1450,4.1,6,0
1450,4.075,5,1
1450,4.1,6,1
1450,4.075,2,1
1450,4.025,1,0
1450,4.025,5,0
1450,3.95,1,2
1450,3.825,2,1
1450,4.1,6,0
1453,3.9,3,1
1457,4.025,1,0
1459,4,4,1
1461,3.95,1,1
1462,4.025,2,0
1462,4,4,0
1463,4.1,4,0
1464,3.95,2,3
1471,4,3,1
1472,4.075,4,0
1472,3.95,5,2
1472,4.1,3,2
1472,4.025,3,1
1473,4,4,2
1475,4.075,5,0
1475,4.125,1,2
1475,4.05,2,0
1475,4.075,1,0
1475,4.025,3,1
1475,4.1,4,0
1480,3.925,3,2
1481,4.125,1,2
1483,4.05,5,1
1485,3.975,3,2
1487,4.15,1,0
1487,4.125,1,0
1487,4.15,1,0
1487,4.05,3,0
1488,4,4,0
1490,4.075,4,1
1494,4.05,0,0
1495,4.05,1,2
1495,3.975,5,1
1495,4.1,1,1
1497,4.025,3,0
1497,3.975,0,0
1497,3.975,0,0
1497,4.025,2,2
1497,3.95,4,1
1498,4.1,6,0
1500,4,2,0
1500,4,2,0
1500,4.15,1,0
1500,4.125,3,2
1500,4.15,5,0
1500,4.125,1,2
1500,3.925,4,2
1500,4.05,5,2
1500,4.1,5,1
1500,4.075,5,2
1500,4,2,0
1500,4.05,1,0
1500,4.1,0,0
1500,3.975,2,0
1500,3.95,2,0
1500,3.575,5,0
1500,3.975,0,2
1500,3.925,4,2
1500,4.05,6,0
1500,4.025,3,0
1500,4.05,3,0
1500,4,1,2
1500,4.15,6,1
1500,3.95,4,2
1505,3.95,3,0
1507,3.925,1,1
1507,3.975,0,0
1507,4.15,6,0
1511,4.025,4,0
1511,4.025,3,1
1514,4.025,1,0
1516,4.025,2,2
1517,4.05,3,0
1517,4.025,1,0
1521,4.075,3,1
1523,4,2,0
1523,4.025,4,1
1523,4.075,3,1
1523,4.1,6,0
1523,4,4,0
1523,4,3,1
1523,4.025,2,0
1523,3.95,4,2
1523,3.975,5,1
1523,4.05,3,2
1523,4.075,3,0
1523,3.975,1,2
1527,4,2,0
1529,4.025,2,2
1533,4.05,3,1
1534,4.1,5,0
1536,3.975,3,0
1537,4.075,1,1
1539,4.1,6,2
1540,3.975,2,0
1543,4.075,1,2
1543,4.075,1,2
1543,4.05,0,0
1544,4,5,0
1546,4.05,3,0
1547,3.95,4,1
1548,3.975,2,0
1548,4.125,1,2
1548,4.075,1,1
1548,4.025,1,0
1549,4,3,0
1550,3.975,4,0
1550,4.05,5,1
1550,4.025,4,0
1550,3.925,3,1
1550,3.95,0,0
1550,4.05,2,0
1550,4,4,2
1550,4,3,0
1550,3.975,0,0
1550,4,1,0
1550,3.95,5,1
1550,4,2,1
1550,4.025,5,0
1550,4,2,0
1550,4.05,1,0
1550,3.925,1,0
1555,4.05,3,0
1555,4.05,3,0
1556,4.025,1,0
1556,4.025,1,0
1557,3.925,1,0
1558,4.1,2,1
1559,4,2,0
1560,3.9,3,2
1560,3.925,1,0
1560,3.95,5,2
1560,3.9,2,1
1560,4.1,3,2
1560,4,3,1
1561,4.1,3,2
1566,4.1,5,0
1568,4.15,6,0
1568,4.05,4,0
1568,4.125,6,0
1570,4.05,2,2
1573,4.125,7,1
1573,4,3,0
1573,4.15,6,0
1573,4.125,1,2
1574,3.9,3,2
1575,4.05,0,0
1575,3.975,3,1
1576,3.925,4,3
1576,3.95,3,2
1577,4.05,0,0
1578,4.025,1,0
1579,4.1,5,0
1579,3.975,4,2
1579,3.975,0,0
1582,4.05,3,0
1583,3.95,4,2
1583,3.925,1,0
1583,3.95,5,2
1585,3.95,4,0
1587,3.975,1,0
1588,4.025,2,2
1589,4.125,5,0
1590,4.225,6,1
1590,4.1,1,2
1592,4.15,6,0
1594,4.05,0,0
1595,3.9,1,1
1595,4.075,1,2
1595,4.025,2,0
1596,4,3,0
1597,4.125,1,2
1597,4.15,6,0
1599,4.05,3,0
1599,4.025,2,0
1599,4.175,6,0
1599,4,4,0
1600,4.05,4,0
1600,4.05,3,0
1600,4.05,4,0
1600,4,4,0
1600,4.075,3,1
1600,4.05,3,0
1600,4.15,5,0
1600,3.975,3,2
1600,3.975,3,0
1600,4.15,1,2
1600,4.1,1,2
1600,4.025,1,1
1600,4.05,0,0
1600,4.125,0,0
1600,3.95,4,1
1600,4.1,7,0
1600,4.15,6,0
1600,3.925,1,0
1600,3.875,2,0
1600,4,4,0
1600,4.2,5,1
1600,4,3,0
1604,4.125,7,1
1610,4.1,3,3
1613,3.95,4,2
1613,4.075,5,2
1614,4.05,0,0
1616,3.9,1,1
1618,3.95,2,0
1619,3.95,1,0
1623,4.05,1,0
1623,3.95,1,0
1624,3.975,6,0
1624,3.975,6,0
1624,4.175,5,1
1624,4,3,0
1624,3.925,4,3
1624,4,3,2
1624,3.95,3,2
1624,4.025,3,1
1624,4.05,1,0
1624,4.05,3,0
1624,4.05,6,1
1624,3.9,3,2
1625,4.125,5,1
1625,4,4,0
1625,3.95,4,2
1625,4.15,4,1
1625,4.025,2,2
1625,3.95,1,0
1625,3.825,3,0
1625,3.825,3,0
1625,4.075,5,0
1627,3.975,4,1
1630,4.125,3,2
1631,3.975,5,0
1636,4.025,2,2
1639,4.025,4,0
1640,4.15,1,2
1641,3.95,5,2
1642,4.1,1,2
1643,4,3,1
1643,4,3,1
1644,4.1,1,2
1647,4.075,1,1
1647,4.05,0,0
1647,3.975,4,0
1647,4.15,6,0
1649,4.2,6,0
1649,4.025,1,0
1649,3.95,1,0
1649,4.05,2,0
1649,4.175,6,0
1650,3.975,4,1
1650,4.1,5,0
1650,4.025,5,0
1650,3.975,6,0
1650,4.05,2,3
1650,4.15,6,0
1650,4,3,0
1650,4,2,2
1650,4.075,5,2
1650,3.95,0,0
1650,4.05,0,0
1650,3.95,1,0
1650,3.95,1,0
1650,3.95,1,0
1650,4.05,6,1
1650,4.05,6,1
1650,3.95,3,2
1650,4,5,0
1650,4.15,1,0
1650,3.975,5,1
1650,4.025,5,1
1650,4.1,5,0
1653,3.975,0,0
1654,3.95,1,0
1658,4.05,6,1
1658,4.025,7,1
1658,4.1,1,2
1658,4.1,1,2
1658,4.025,2,2
1658,3.975,0,0
1662,3.975,2,1
1662,3.975,4,2
1664,3.95,0,0
1664,4.025,3,0
1665,4.125,1,0
1666,4.05,2,0
1668,3.975,5,0
1668,4,4,0
1671,4.125,1,2
1672,4.025,4,1
1675,4.025,1,1
1675,4.1,6,1
1675,4.1,6,2
1675,4.1,6,2
1675,3.925,4,3
1675,3.925,5,0
1675,4.1,5,0
1675,3.95,5,1
1675,3.9,3,2
1675,4,3,1
1675,4.025,1,0
1675,3.95,2,3
1675,4.15,2,1
1675,3.95,2,0
1677,4.15,6,0
1679,4.05,3,2
1683,4.075,5,0
1684,4.025,3,1
1684,4.025,3,1
1685,4.075,2,1
1685,3.95,5,0
1685,3.95,4,0
1690,4.05,3,0
1690,4.125,1,2
1691,3.925,1,0
1693,3.95,5,1
1694,4,2,1
1695,4.125,4,2
1695,3.95,4,1
1695,4.125,1,2
1695,4.075,1,1
1695,4,4,0
1695,4.025,4,0
1695,4.025,4,0
1696,4,3,1
1697,4.15,5,0
1697,4.05,1,0
1699,4,2,1
1699,4.05,0,0
1699,3.975,2,0
1699,4.05,0,0
1699,4.025,3,1
1700,4.05,3,1
1700,4.075,4,2
1700,4,5,0
1700,4,4,0
1700,4.025,3,0
1700,4.125,1,2
1700,4.05,5,0
1700,4.125,1,2
1700,4.05,0,0
1700,4.025,1,0
1700,4.15,4,1
1700,4.15,4,1
1700,3.95,1,0
1700,4.025,3,0
1700,3.95,2,2
1700,4,3,1
1700,4.05,2,0
1700,4.125,1,2
1700,4.05,1,0
1700,4.025,3,0
1700,4.025,2,0
1702,4,3,0
1703,4.15,6,0
1704,4.1,0,0
1707,3.975,1,2
1707,4.05,1,1
1708,4,3,0
1710,3.95,3,2
1710,4,3,1
1710,3.925,4,3
1716,3.95,1,0
1717,3.95,0,0
1720,4.15,5,0
1720,3.95,0,0
1721,4.175,6,0
1724,4,3,1
1725,4,1,2
1725,3.925,1,0
1725,4.025,1,0
1725,4.025,1,0
1725,3.95,1,0
1725,3.975,0,0
1726,3.975,4,2
1726,4.1,6,1
1726,4.125,7,1
1726,4.15,7,0
1726,4.15,4,1
1726,4.075,4,0
1726,4,3,1
1726,4.025,2,0
1726,4.1,1,2
1726,4.125,2,1
1726,3.95,5,2
1728,4.1,1,2
1732,4,0,0
1734,4.025,1,0
1735,3.975,6,0
1735,4.075,3,1
1736,4.15,4,1
1738,4.1,6,0
1738,3.875,2,1
1738,3.95,0,0
1740,4.075,5,0
1740,3.975,0,0
1742,4.05,5,0
1742,4.1,5,0
1742,4.15,5,0
1742,4.075,1,2
1743,4.175,6,0
1744,4.1,6,0
1747,3.95,4,0
1748,3.975,3,2
1748,4.05,0,0
1748,4.025,3,0
1750,4.05,3,1
1750,4,1,0
1750,4.15,5,0
1750,4.05,4,2
1750,4.05,6,1
1750,4.1,6,2
1750,4,5,1
1750,3.925,4,2
1750,4,3,1
1750,3.95,0,0
1750,4.05,4,0
1750,4.05,4,0
1750,4.025,1,1
1750,4.025,1,1
1750,4.1,0,0
1750,3.95,1,0
1750,3.95,1,0
1750,3.95,2,1
1750,4.125,4,1
1750,4.05,3,0
1750,4.025,3,0
1750,4.075,1,0
1750,4.05,3,1
1750,4.125,1,2
1750,4,2,0
1751,4.075,1,1
1751,3.975,0,0
1751,4.125,1,2
1751,4.175,5,1
1754,4,5,0
1757,4.15,1,2
1758,4.125,3,2
1761,4,1,2
1761,4,4,0
1761,4.125,1,2
1761,4,0,0
1762,4.025,1,0
1764,4.075,4,0
1766,4.15,5,1
1766,3.975,4,1
1767,4.05,5,0
1768,4.15,5,0
1771,3.975,3,0
1772,4.05,1,0
1775,4.2,6,1
1775,4.05,4,2
1775,4.075,5,2
1775,4,1,0
1776,3.975,5,0
1776,3.95,1,2
1776,4.05,3,1
1776,4.05,3,1
1776,4.05,3,1
1776,4.025,1,0
1776,4.1,4,1
1776,4.025,1,0
1776,4,4,0
1779,4.1,0,0
1780,3.975,3,0
1780,4.025,2,2
1780,3.975,3,2
1782,4.175,6,0
1783,4.125,1,2
1785,4,5,1
1785,4,5,1
1785,3.975,3,0
1785,3.95,4,2
1785,4.1,1,2
1787,4.05,0,0
1790,3.975,1,2
1791,4.075,5,1
1794,4.05,0,0
1795,4.125,7,1
1795,4.025,3,0
1795,4.025,2,2
1795,4.025,2,2
1795,4.1,0,0
1795,4.025,2,2
1795,4.025,2,2
1795,3.975,1,0
1795,4.05,2,0
1795,3.875,3,2
1795,3.95,4,1
1795,4.1,6,0
1795,3.95,0,0
1796,4.025,4,0
1797,4.125,3,1
1797,4.05,4,2
1797,4.1,0,0
1798,4,4,0
1798,3.925,4,3
1798,3.975,3,0
1799,3.95,3,3
1800,4.075,5,1
1800,4.05,1,2
1800,4,5,1
1800,4.025,4,0
1800,4.075,5,1
1800,4.15,6,0
1800,4.025,3,0
1800,4.125,3,1
1800,4.075,3,1
1800,4.05,4,0
1800,4.1,1,2
1800,4.025,1,1
1800,4.075,0,0
1800,4.1,1,2
1800,4.05,0,0
1800,3.975,1,0
1800,3.95,2,0
1800,4.025,3,0
1800,3.975,0,0
1801,4.05,0,0
1802,4.05,4,0
1802,4.1,4,0
1802,4.1,0,0
1802,4.025,2,2
1805,4.075,1,2
1806,4.075,0,0
1810,4.05,1,0
1810,3.975,0,0
1810,3.95,3,3
1813,4.05,3,0
1814,4.075,5,0
1814,4,5,0
1814,4.1,1,2
1815,3.95,0,0
1816,4.05,1,0
1818,4.15,6,0
1819,4.075,4,2
1820,4.05,0,0
1820,4.05,0,0
